listing_id,title,title_url,price,dates,age,usage,condition
9909273,CPA BECKER BOOKS,https://dubai.dubizzle.com/classified/books/textbooks/university/2017/4/12/cpa-becker-books-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=237,AED 100,2017-04-12,1-6 months,Light Usage,Flawless
9909272,A-Z books for sale,https://dubai.dubizzle.com/classified/books/fiction/other/2017/4/12/a-z-books-for-sale-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=238,AED 100,2017-04-12,5-10 years,Used Once,Excellent
9909270,Cambridge IELTS Self Study|Practice and Exam ...,https://dubai.dubizzle.com/classified/books/textbooks/university/2017/4/12/cambridge-ielts-self-study-practice-and-ex-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=239,AED 550,2017-04-12,Brand New,Never Used,Flawless
9909269,Gluten Free| Diet and healthy Cooking Books,https://sharjah.dubizzle.com/classified/books/nonfiction/cook-books/2017/4/12/gluten-free-diet-and-healthy-cooking-books-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=240,AED 30,2017-04-12,1-6 months,Used Once,Flawless
9909268,Cooking Books all variety,https://sharjah.dubizzle.com/classified/books/nonfiction/cook-books/2017/4/12/cooking-books-all-variety-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=241,AED 30,2017-04-12,1-6 months,Used Once,Flawless
9909267,BOOKS FOR SALE,https://dubai.dubizzle.com/classified/books/fiction/other/2017/4/12/books-for-sale-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=242,AED 5,2017-04-12,6-12 months,Used Once,Excellent
9909266,Great Cook Books by famous chefs,https://dubai.dubizzle.com/classified/books/nonfiction/cook-books/2017/4/12/great-cook-books-by-famous-chefs-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=243,AED 120,2017-04-12,1-6 months,Used Once,Flawless
9909265,Books,https://dubai.dubizzle.com/classified/books/fiction/other/2017/4/12/books-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=244,AED 350,2017-04-12,2-5 years,Normal Usage,Excellent
9909264,Islamic book,https://abudhabi.dubizzle.com/classified/books/textbooks/secondary-school/2017/4/12/islamic-book-3/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=245,AED 60,2017-04-12,1-2 years,Used Once,Excellent
9909262,the exiled queen,https://sharjah.dubizzle.com/classified/books/fiction/mysterythriller/2017/4/11/the-exiled-queen-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=246,AED 40,2017-04-11,6-12 months,Used Once,Flawless
9909261,the love collection,https://sharjah.dubizzle.com/classified/books/fiction/romance/2017/4/11/the-love-collection-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=247,AED 15,2017-04-11,0-1 month,Used Once,Flawless
9909260,the invisible man,https://sharjah.dubizzle.com/classified/books/fiction/fantasysci-fi/2017/4/11/the-invisible-man-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=248,AED 10,2017-04-11,1-6 months,Used Once,Flawless
9909259,i am malala,https://sharjah.dubizzle.com/classified/books/nonfiction/historybiography/2017/4/11/i-am-malala-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=249,AED 40,2017-04-11,1-6 months,Used Once,Flawless
